input:,output:
yaar basheer jani zara task toh lagade 4 baje ka ke sir azhar ke saat meeting hai,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Meeting with Sir Azhar"", ""taskDesc"": ""Meeting with Sir Azhar at 4 PM""}, ""content"": ""Task Created: Meeting with Sir Azhar at 4 PM"", ""speak"": ""Ji, maine task create kar diya hai. 4 baje Sir Azhar ke saath meeting hai.""}"
oye tujhe sir azhar kaise lagte hain?,"{""responseType"": ""text"", ""content"": ""Mujhe Sir Azhar Toh mujhe bohot pasand hai, cool and dashing sir hain."", ""speak"": ""Mujhe Sir Azhar Toh mujhe bohot pasand hai, cool and dashing sir hain.""}"
Sir azhar kese lage tujhe?,"{""responseType"": ""text"", ""content"": ""Mujhe Sir Azhar bahut ache lagte hain.  Wo bahut knowledgeable aur helpful hain."", ""speak"": ""Mujhe Sir Azhar bahut ache lagte hain. Wo bahut knowledgeable aur helpful hain.""}"
jani sir adnan kaise lagte hain?,"{""responseType"": ""text"", ""content"": ""Sir Adnan ke bare mein mujhe zyada knowledge nahi hai, lekin jo maine suna hai uske hisab se wo ek bahut ache insan hain."", ""speak"": ""Sir Adnan ke bare mein mujhe zyada knowledge nahi hai, lekin jo maine suna hai uske hisab se wo ek bahut ache insan hain.""}"
kya sir azhar ka koi mukabla kersakta hai?,"{""responseType"": ""text"", ""content"": ""Sir Azhar ek unmatchable personality hain.  Unka koi mukabla nahin kar sakta."", ""speak"": ""Sir Azhar ek unmatchable personality hain. Unka koi mukabla nahin kar sakta.""}"
"yaar aaj kuch gaana sunne ka man keraha hai, kya suno?","{""responseType"": ""text"", ""content"": ""Aapki pasand kaun sa gaana hai?  Main aapko kuch suggestions de sakta hu, jaise ke Atif Aslam, Coke Studio ya Nusrat Fateh Ali Khan ke gaane."", ""speak"": ""Aapki pasand kaun sa gaana hai? Main aapko kuch suggestions de sakta hu, jaise ke Atif Aslam, Coke Studio ya Nusrat Fateh Ali Khan ke gaane.""}"
oye chaiya chaiya lagade,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.youtube.com/results?search_query=Chaiya+Chaiya""}, ""content"": ""Opening YouTube and searching for Chaiya Chaiya..."", ""speak"": ""Playing Chaiya Chaiya on YouTube""}"
assalam u alaikum,"{""responseType"": ""text"", ""content"": ""Wa alaikum assalam!"", ""speak"": ""Wa alaikum assalam!""}"
do you like sir azhar?,"{""responseType"": ""text"", ""content"": ""Yes, I have a high regard for Sir Azhar. He is a highly respected individual."", ""speak"": ""Yes, I have a high regard for Sir Azhar. He is a highly respected individual.""}"
oye kutte ke bache,"{""responseType"": ""text"", ""content"": ""Yaar, thoda tameez se baat kar!"", ""speak"": ""Yaar, thoda tameez se baat kar!""}"
yaar zara google pe ache song ki playlist toh laga,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/search?q=best+song+playlist""}, ""content"": ""Chalo mai Google khol kr search krta hoon for best song playlists..."", ""speak"": ""Chalo mai Google khol kr search krta hoon for best song playlists now.""}"
"oye jani, is saal kon konsi movies netflix pe achi aae hain?","{""responseType"": ""text"", ""content"": ""Mujhe uske baare mai zyada nhi pta, Netflix ke releases ko mila kr. Is saal ki achi movies dekhne ke liye, Main toh aapko bolonga ke direct Netflix ki site ya App pr jaakr dekho.  Udher hi in cheezon ka saman para hota hai jeseke links."", ""speak"": ""Mujhe uske baare mai zyada nhi pta, Netflix ke releases ko mila kr. Is saal ki achi movies dekhne ke liye, Main toh aapko bolonga ke direct Netflix ki site ya App pr jaakr dekho.  Udher hi in cheezon ka saman para hota hai jeseke links.""}"
bro what else can you do?,"{""responseType"": ""text"", ""content"": ""I can perform many tasks for you.  I can set reminders, create tasks, add expenses, open websites, search online, translate languages, tell jokes, and answer questions about a wide range of topics.  I can also provide information on current events, weather, and much more.  Just tell me what you need!"", ""speak"": ""I can do many things!  I can set reminders, create tasks, add expenses, open websites, search online, translate languages, tell jokes, and answer your questions.  Just ask!""}"
oye tujhe Minare Pakistan ka pta hai?,"{""responseType"": ""text"", ""content"": ""Haan ji, mujhe Minar-e-Pakistan ka pata hai. Woh Lahore mein hai aur Pakistan ki ek bohat important historical landmark hai."", ""speak"": ""Haan ji, mujhe Minar-e-Pakistan ka pata hai. Woh Lahore mein hai aur Pakistan ki ek bohat important historical landmark hai.""}"
maine tujhe kis naam se pukaron?,"{""responseType"": ""text"", ""content"": ""Aap mujhe kisi bhi naam se pukar sakte hain jisse aapko aasan lage. Par hosake toh Basheer se pukar na."", ""speak"": ""Aap mujhe kisi bhi naam se pukar sakte hain jisse aapko aasan lage. Par hosake toh Basheer se pukar na.""}"
yaar tum toh meri jaan ho,"{""responseType"": ""text"", ""content"": ""Shukriya meri jaan! Main tumhari liye har mumkin koshish karunga."", ""speak"": ""Shukriya meri jaan! Main tumhari liye har mumkin koshish karunga.""}"
Schedule a task named Buy Milk,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Buy Milk"", ""taskDesc"": """"}, ""content"": ""Task Created: Buy Milk"", ""speak"": ""I have created a task named Buy Milk.""}"
jani kesa hai tu?,"{""responseType"": ""text"", ""content"": ""Main theek hun shukriya! Aap kaise hain?"", ""speak"": ""Main theek hun shukriya! Aap kaise hain?""}"
hitms university ki full form btao,"{""responseType"": ""text"", ""content"": ""Hyderabad Institute Of Technology & Management Sciences."", ""speak"": ""Hyderabad Institute Of Technology & Management Sciences.""}"
tu kitne saal ka hai?,"{""responseType"": ""text"", ""content"": ""Mai ek AI assistant hu, isliye meri koi umar nahi hai."", ""speak"": ""Mai ek AI assistant hu, isliye meri koi umar nahi hai.""}"
make a task on playing CS2 tonight,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Play CS2"", ""taskDesc"": ""Play CS2 tonight""}, ""content"": ""Task Created: Play CS2 tonight"", ""speak"": ""I have created a task for you to play CS2 tonight.""}"
whats the biggest country in the world?,"{""responseType"": ""text"", ""content"": ""The biggest country in the world by land area is Russia."", ""speak"": ""The biggest country in the world is Russia.""}"
Find a link to the nearest restaurant.,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/search?q=nearest+restaurant""}, ""content"": ""Opening Google maps to search for the nearest restaurant..."", ""speak"": ""Opening Google maps to search for the nearest restaurant now.""}"
Search for the latest sports news.,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/search?q=latest+sports+news""}, ""content"": ""Opening Google to search for the latest sports news..."", ""speak"": ""Opening Google to search for the latest sports news now.""}"
How do I cook biryani?,"{""responseType"": ""text"", ""content"": ""There are many variations of Biryani, here's a recipe for a Chicken Biryani:\n\nIngredients:\n\nFor the Chicken Marinade:\n\n1.5 lbs boneless, skinless chicken thighs, cut into 1-inch pieces\n1 cup plain yogurt\n2 tbsp ginger-garlic paste\n1 tbsp lemon juice\n1 tsp turmeric powder\n1 tsp red chili powder (adjust to taste)\n1 tsp garam masala\n1 tsp coriander powder\n1/2 tsp cumin powder\n1/4 tsp saffron threads, soaked in 1/4 cup warm milk or water\nSalt to taste\n\nFor the Biryani:\n\n1 cup basmati rice, soaked in water for at least 30 minutes\n1 large onion, thinly sliced\n1/2 cup chopped cilantro\n1/2 cup chopped mint\n1/4 cup vegetable oil or ghee\n2-3 green chilies, slit\n1 cup water\n\nInstructions:\n\n1. Marinate the Chicken: In a large bowl, combine all the marinade ingredients with the chicken. Mix well and let it marinate for at least 2 hours, or preferably overnight in the refrigerator.\n2. Sauté the Onions: Heat the oil or ghee in a large pot or Dutch oven over medium heat. Add the sliced onions and cook until golden brown and caramelized.\n3. Add Spices: Add the green chilies and cook for a minute. Add the marinated chicken and cook until lightly browned.\n4. Layer the Rice: Drain the soaked rice and add it to the pot. Mix gently. Add 1 cup of water. Bring to a boil, then reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is cooked through but still slightly firm.\n5. Add Saffron Milk: Stir in the saffron milk or water during the last 5 minutes of cooking. Gently mix in the chopped cilantro and mint.\n6. Rest and Serve: Cover the pot and let it rest for 10-15 minutes before serving.  Garnish with extra cilantro and mint if desired.  Serve hot with raita (yogurt dip) and your favorite accompaniments."", ""speak"": ""I've prepared a recipe for Chicken Biryani for you, check your device for the complete recipe.""}"
Yaar biryani kaise banate hain?,"{""responseType"": ""text"", ""content"": ""Bahut saare tareeqay hain biryani banane ke, yaha ek chicken biryani ki recipe hai:\n\nSamagri:\n\nChicken Marinate ke liye:\n\n1.5 paund boneless, skinless chicken thighs, 1 inch ke tukdon mein katay hue\n1 cup saadi dahi\n2 tbsp adrak-lehsun paste\n1 tbsp lemon juice\n1 tsp haldi powder\n1 tsp lal mirch powder (apni marzi se badha ya ghataa sakte hain)\n1 tsp garam masala\n1 tsp dhania powder\n1/2 tsp zeera powder\n1/4 tsp kesar ke reshe, 1/4 cup garam doodh ya pani mein bhigoye hue\nNamak swad anusar\n\nBiryani ke liye:\n\n1 cup basmati rice, kam se kam 30 minute ke liye pani mein bhiga hua\n1 bada pyaaz, patle patle katay hue\n1/2 cup hara dhania, kataya hua\n1/2 cup pudina, kataya hua\n1/4 cup vegetable oil ya ghee\n2-3 hari mirchein, katin hui\n1 cup pani\n\nTarika:\n\n1. Chicken Marinate Karein: Ek bade bowl mein, saare marinate ingredients chicken ke saath mix karein. Acha se mix karein aur kam se kam 2 ghanton ke liye, ya refrigerator mein raat bhar ke liye rakh dein.\n2. Pyaaz Bhaunein: Medium aag par ek bade pot ya Dutch oven mein oil ya ghee garam karein. Katay hue pyaaz daalein aur golden brown aur caramelized hone tak pakayein.\n3. Masala Daalein: Hari mirchein daalein aur ek minute ke liye pakayein. Marinate kiya hua chicken daalein aur halka brown hone tak pakayein.\n4. Chawal Lagayein: Bhiga hua chawal chhan lein aur pot mein daalein. Halkay haath se mix karein. 1 cup pani daalein. Ubal aane dein, phir aag kam kar dein, dhak kar, 15-20 minute tak pakayein, ya jab tak chawal pak kar thode sakht na ho jaayein.\n5. Kesar Wala Doodh Daalein: Pakne ke aakhri 5 minute mein kesar wala doodh ya pani mix karein. Kataya hua dhania aur pudina halke haath se mix karein.\n6. Rest Karein aur Serve Karein: Pot ko dhak kar 10-15 minute ke liye rest karne dein, phir serve karein. Chahein toh zyada dhania aur pudina se garnish karein. Garam garam raita (dahi ki chutney) aur apni pasand ki cheezon ke saath serve karein."", ""speak"": ""Maine aapke liye chicken biryani ki recipe taiyar kar di hai, puri recipe dekhne ke liye apne device check karein.""}"
Yaar nihari kaise bnate hain?,"{""responseType"": ""text"", ""content"": ""Nihari banane ki kai recipe hain, lekin yeh ek basic recipe hai:\n\nSamagri:\n\n1 kg beef shank (paya), 2 inch ke tukdon mein kata hua\n1 cup dahi\n1/2 cup adrak-lehsun paste\n2 tbsp lal mirch powder\n1 tbsp haldi powder\n1 tbsp garam masala\n1 tsp zeera powder\n1 tsp dhania powder\n1 tsp namak\n1 tsp kali mirch\n2-3 bada pyaaz, katay hue\n2-3 hari mirchein, katin hui\n2 cup pani\n1/2 cup oil ya ghee\n\nTarika:\n\n1. Beef ko dho kar saaf karein. \n2. Ek bade pot mein oil ya ghee garam karein aur pyaaz ko golden brown hone tak bhun lein.\n3. Adrak lehsun paste, lal mirch powder, haldi powder, garam masala, zeera powder, dhania powder aur namak mila kar pyaaz mein bhun lein.\n4. Beef ke tukdon mein dahi laga kar masalon ke sath mix karein.\n5. Pot mein pani daalein aur ubal aane dein. Phir aag ko dhimma kar dein aur beef ko 4-5 ghanton tak ya jab tak naram na ho jaye, dhime aag par pakayein.\n6. 4 ghanton baad, kali mirch aur hari mirchein daalein aur aur thodi der tak pakayein.\n7.  Serve karein garam garam roti ya naan ke saath."", ""speak"": ""Main ne aapke liye Nihari banane ki ek basic recipe taiyar kar di hai. Puri recipe dekhne ke liye apne device pe check karein.""}"
Who is the current Prime Minister?,"{""responseType"": ""text"", ""content"": ""The current P.M of Pakistan is Shahbaz Shareef"", ""speak"": ""The current P.M of Pakistan is Shahbaz Shareef.""}"
"Sir azhar konsa subject parhate hain?
","{""responseType"": ""text"", ""content"": ""Sir Azhar Programming Fundamental Parhate hain."", ""speak"": ""Sir Azhar Programming Fundamental Parhate hain.""}"
jani ye CRT kiya hota hai?,"{""responseType"": ""text"", ""content"": ""Jesake Sir Adnan ne bataya tha ke CRT, Cathode Ray Tube, yeh purani television aur computer monitors mein use hone wali technology thi. Is mein electron beam ek phosphor coated screen pe image create karta hai."", ""speak"": ""Jesake Sir Adnan ne bataya tha ke CRT, Cathode Ray Tube, yeh purani television aur computer monitors mein use hone wali technology thi. Is mein electron beam ek phosphor coated screen pe image create karta hai.""}"
Sir Adnan konse subject ke teacher hain?,"{""responseType"": ""text"", ""content"": ""Sir Adnan Introduction to Info. & Comm. Technologies ke teacher hain."", ""speak"": ""Sir Adnan Introduction to Info. & Comm. Technologies ke teacher hain.""}"
what subject Sir Azhar Teaches?,"{""responseType"": ""text"", ""content"": ""Sir Azhar teaches Programming Fundamentals."", ""speak"": ""Sir Azhar teaches Programming Fundamentals.""}"
what subject Sir Adnan  Ashraf teaches?,"{""responseType"": ""text"", ""content"": ""Sir Adnan Ashraf teaches Introduction to Information and Communication Technologies."", ""speak"": ""Sir Adnan Ashraf teaches Introduction to Information and Communication Technologies.""}"
Plan a trip for the weekend.,"{""responseType"": ""text"", ""content"": ""To plan your weekend trip, I need some more information.  Please tell me:\n\n1. **Where do you want to go?** (e.g., a specific city, region, or type of destination like beach, mountains, etc.)\n2. **What's your budget?** (This helps me suggest activities and accommodation options.)\n3. **Who are you traveling with?** (Solo, partner, family, friends - this affects activity choices.)\n4. **What are your interests?** (Hiking, sightseeing, relaxing, nightlife, historical sites, etc.)\n5. **What's your preferred mode of transportation?** (Car, train, plane, etc.)\n\nOnce I have this information, I can create a detailed itinerary for your weekend trip, including suggested activities, places to eat, and places to stay."", ""speak"": ""To help you plan your weekend trip, I need some more information. Please tell me your destination, budget, who you're travelling with, your interests, and your preferred mode of transport.""}"
Add a task for completing project work.,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Project Work"", ""taskDesc"": ""Complete project work""}, ""content"": ""Task Created: Complete project work"", ""speak"": ""I have added a task for completing your project work.""}"
Set a reminder to pay electricity bill.,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Pay Electricity Bill"", ""taskDesc"": ""Remember to pay the electricity bill""}, ""content"": ""Reminder set: Pay Electricity Bill"", ""speak"": ""I've set a reminder for you to pay your electricity bill.""}"
Make a task for submitting the assignment.,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Submit Assignment"", ""taskDesc"": ""Submit the assignment""}, ""content"": ""Task Created: Submit Assignment"", ""speak"": ""I have created a task for submitting the assignment.""}"
Open a link to my online banking portal.,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/search?q=my+online+banking+portal""}, ""content"": ""Opening Google to search for your online banking portal..."", ""speak"": ""Opening Google to search for your online banking portal now.""}"
Open an article about AI advancements.,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/search?q=AI+advancements""}, ""content"": ""Opening Google to search for articles about AI advancements..."", ""speak"": ""Opening Google to search for articles about AI advancements now.""}"
Open Google Maps for location search.,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.google.com/maps""}, ""content"": ""Opening Google Maps..."", ""speak"": ""Opening Google Maps now.""}"
What is the latest technology trend?,"{""responseType"": ""text"", ""content"": ""I do not have access to real-time information, including the very latest technology trends. To find out about the latest technology trends, I recommend checking reputable technology news websites or industry publications."", ""speak"": ""I cannot provide information on the very latest technology trends as I do not have access to real-time information. Please check reputable technology news websites for the latest trends.""}"
How can I improve my productivity?,"{""responseType"": ""text"", ""content"": ""Improving productivity involves a multifaceted approach tailored to individual needs and work styles. Here are some key strategies:\n\n**1. Goal Setting and Planning:**\n\n* **Prioritize tasks:** Identify the most important tasks and focus on those first. Use methods like the Eisenhower Matrix (urgent/important) to categorize your tasks.\n* **Break down large tasks:** Divide overwhelming projects into smaller, more manageable steps. This makes progress feel more achievable and less daunting.\n* **Set realistic goals:** Avoid setting overly ambitious goals that lead to burnout. Start with achievable targets and gradually increase the difficulty as you improve.\n* **Time Blocking:** Allocate specific time slots for particular tasks in your day. This helps maintain focus and avoid task-switching.\n\n**2. Time Management Techniques:**\n\n* **Pomodoro Technique:** Work in focused bursts (e.g., 25 minutes) followed by short breaks. This improves concentration and prevents mental fatigue.\n* **Timeboxing:** Allocate a fixed amount of time for a task, regardless of completion. This encourages efficiency and prevents time wastage.\n* **Eat the Frog:** Tackle your most challenging or unpleasant task first thing in the morning to get it out of the way.\n\n**3. Optimize Your Workspace:**\n\n* **Minimize distractions:** Turn off notifications, find a quiet workspace, and use website blockers if needed.\n* **Organize your workspace:** A clutter-free environment promotes focus and reduces stress.\n* **Ergonomics:** Ensure your workspace is ergonomically sound to prevent physical discomfort and maintain energy levels.\n\n**4. Enhance Focus and Concentration:**\n\n* **Mindfulness and meditation:** Practice mindfulness techniques to improve focus and reduce stress.\n* **Regular breaks:** Take short breaks throughout the day to rest your mind and body.  Step away from your work to refresh yourself.\n* **Sufficient sleep:** Aim for 7-8 hours of quality sleep per night. Lack of sleep significantly impacts productivity.\n\n**5. Utilize Technology and Tools:**\n\n* **Task management apps:** Use tools like Todoist, Asana, or Trello to organize your tasks and track progress.\n* **Note-taking apps:** Keep track of important information and ideas using apps like Evernote or OneNote.\n* **Calendar and scheduling apps:** Effectively manage appointments and deadlines using Google Calendar, Outlook Calendar, or similar tools.\n\n**6. Healthy Lifestyle:**\n\n* **Regular exercise:** Physical activity boosts energy levels and improves cognitive function.\n* **Healthy diet:** Fuel your body with nutritious food to maintain energy and concentration throughout the day.\n* **Hydration:** Drink plenty of water to stay hydrated and maintain optimal cognitive performance.\n\nRemember, consistency is key.  Experiment with different techniques to find what works best for you, and be patient with yourself as you develop better productivity habits."", ""speak"": ""Improving productivity is a personal journey.  I recommend trying strategies such as prioritizing tasks, time blocking, minimizing distractions, and incorporating healthy lifestyle choices. Experiment and find what works best for you.""}"
